age,income,credit_score
36,77935,654
42,59040,682
37,47263,693
40,58633,674
29,28853,724
33,67738,682
37,45140,739
42,46939,711
31,42625,672
40,41290,665
33,60420,634
34,53839,712
42,59776,686
18,49868,605
23,57698,679
22,43717,664
18,83446,763
29,26481,632
42,68914,642
32,70519,744
37,37218,754
45,83439,670
47,64932,675
34,64567,725
47,50420,607
36,46742,626
27,46859,689
30,55858,762
22,71018,683
27,52720,704
32,36328,745
42,62366,784
50,63817,677
23,59820,699
39,61182,773
26,45936,639
39,36065,741
34,36977,659
19,25468,704
43,53554,690
30,48748,662
30,43400,661
25,5666,711
29,31290,740
39,66813,695
33,40031,703
38,55409,723
38,29140,661
47,71581,730
32,47840,733
22,54351,804
45,84887,685
32,72747,682
45,45402,731
38,41102,733
34,45117,679
38,57648,684
53,48422,722
54,44071,667
36,72008,684
36,48287,704
45,84494,740
27,51361,676
38,76780,626
35,55360,623
38,64444,650
27,39131,647
21,37194,694
18,56896,652
25,64828,672
31,50604,669
32,30704,682
52,29596,753
45,28593,726
26,23486,701
38,51642,682
31,66876,683
32,49799,713
37,16094,723
41,47139,664
32,47558,701
45,81440,619
25,28143,708
35,44140,730
58,75588,689
37,56750,773
48,58450,665
36,51719,709
40,54949,699
34,61664,696
33,37858,695
28,63171,704
39,29405,734
27,54926,755
41,52681,700
45,40756,733
38,49660,672
32,40662,731
39,33924,670
32,44696,744
43,33440,788
19,54842,695
32,32749,612
18,60680,678
22,32278,749
47,41506,722
43,40631,710
29,69877,740
21,54954,719
18,46824,749
30,57481,737
57,18392,761
39,49353,714
30,79963,736
39,51985,688
21,51019,676
32,58222,768
36,63434,709
34,20038,732
42,24765,705
38,53154,677
41,39277,700
29,69680,757
43,45272,722
50,20982,632
26,30980,691
27,8755,771
47,46488,691
33,47174,628
48,43633,776
31,66183,727
48,67978,697
36,47444,685
37,17980,743
49,59259,678
32,58330,746
27,54641,722
31,64722,710
39,32528,706
21,80131,693
41,35609,742
30,61238,665
45,24690,635
18,36046,725
28,72746,725
20,46087,719
28,62599,716
37,53554,687
33,48426,731
33,70458,698
34,46450,681
37,23289,688
26,37951,781
41,58268,631
41,55933,720
38,26494,633
40,39135,696
38,41274,683
53,44518,617
34,29361,716
32,40574,685
28,39071,616
26,61573,734
24,62137,757
27,47813,760
34,44119,714
38,52099,702
35,37751,753
28,32798,767
43,35897,745
42,40478,662
34,32548,708
29,52431,718
40,60946,628
37,26194,719
22,50377,791
34,46701,726
37,55123,759
27,49806,707
37,28196,697
22,31064,715
47,50441,667
46,65432,661
33,16787,751
38,55186,755
18,67844,660
25,47705,739
32,58253,697
25,39454,714
41,48210,718
53,25686,740
24,14835,703
27,64141,756
37,35225,712
50,43167,725
24,29203,667
37,28850,786
51,47392,719
20,39056,729
23,55670,636
31,56788,667
30,54813,750
42,53579,711
37,73667,623
19,33986,742
40,49176,678
30,66990,756
46,68968,696
29,28674,708
29,45315,747
40,70372,664
42,57621,660
39,52929,692
20,46735,733
40,44243,647
26,54323,633
37,46214,733
22,49361,676
39,51179,684
28,39829,626
23,57982,673
41,93714,700
37,23345,737
29,54860,669
48,38597,766
31,58661,673
35,50698,673
37,61428,761
29,67633,708
39,52886,678
30,66981,694
31,14836,754
47,73857,759
26,55626,667
18,66168,698
49,31702,704
58,37538,661
31,52189,698
18,49744,700
32,54246,746
32,66268,748
33,23522,687
25,64607,691
40,50124,727
40,46943,677
22,27933,724
41,57546,696
53,13788,661
37,59726,662
32,27618,758
34,50802,694
41,48212,766
19,67543,679
36,47320,712
31,39588,796
52,42401,658
33,69093,624
50,58044,751
25,44216,667
40,46453,699
38,26492,677
27,55827,711
37,23603,662
46,61277,693
32,51929,718
20,85804,660
35,33498,672
27,48460,686
32,76974,643
34,67871,683
20,39557,705
20,53360,684
39,50030,689
30,54229,699
18,39520,674
42,48660,728
37,26029,757
29,52027,681
23,56750,719
43,46589,690
38,25774,715
56,64828,763
39,55468,720
38,39110,629
33,45791,718
42,27490,749
41,34619,691
46,41933,740
30,68426,672
31,40407,641
31,59603,706
42,41925,630
48,53719,690
31,47879,751
31,63096,624
38,41978,649
33,26412,659
44,29271,697
18,42022,685
28,31264,756
28,56153,738
18,43013,720
26,85619,706
27,23934,716
33,53054,666
45,33081,734
33,42599,656
26,52121,733
34,15119,747
44,53552,708
26,78544,693
27,43198,716
40,53897,586
33,65374,712
41,47541,695
35,41286,698
41,15864,728
26,59615,697
35,48302,654
33,34810,694
24,51899,703
21,41245,705
41,42074,706
32,59094,742
26,29924,657
34,65710,707
45,29035,752
18,40059,631
22,78844,707
27,66910,677
48,51464,685
38,35892,664
42,42061,693
25,51099,774
25,50563,649
39,48637,653
36,49538,648
40,46784,769
33,28370,682
38,42252,699
36,63719,684
42,29475,662
42,47157,691
20,37704,798
18,51670,756
44,44171,666
46,72161,726
26,57599,667
18,30323,629
36,60068,741
43,38380,746
51,41345,742
40,54707,681
32,42624,693
27,63393,730
35,38382,716
32,40716,684
26,40154,635
53,41515,705
51,66488,743
45,59432,652
27,75649,726
43,84015,713
41,34539,730
39,51056,735
46,32357,672
41,38336,635
42,40549,679
41,34143,736
38,34222,678
19,47836,672
36,31749,627
30,62632,770
23,36234,733
50,92144,731
51,43229,739
47,51080,723
37,30570,690
47,75591,693
35,66793,683
37,54454,805
25,29798,722
39,53160,681
36,33179,719
23,71935,660
35,62138,760
34,51432,674
51,13454,720
43,35249,743
35,60316,715
37,68193,704
35,66638,700
33,26120,698
25,54523,677
34,65233,682
28,25125,759
24,49881,696
40,54108,669
39,45489,679
19,22218,744
34,45115,727
44,45090,722
45,47779,690
44,41548,723
35,43355,674
27,49404,690
25,56637,739
38,45434,735
38,43855,661
47,51385,666
45,21186,704
34,57156,769
24,49992,623
32,50595,711
37,64411,645
33,20708,675
30,20392,685
37,54107,683
30,49893,679
29,52553,700
38,43068,679
31,59965,642
37,63990,731
37,57260,730
25,46088,734
31,18385,638
48,61539,712
25,68326,727
18,59668,659
18,36805,700
35,60107,695
35,62908,774
34,73382,777
46,36858,633
18,46603,800
39,61209,663
49,50861,739
25,33240,739
32,56219,660
28,58680,720
27,51319,696
32,53294,722
48,46119,709
52,72174,748
32,36490,703
52,41190,693
35,50165,744
51,63184,723
34,27539,729
36,30346,673
38,19434,658
64,50490,677
43,33225,675
29,44232,731
44,59921,739
32,40377,694
31,53469,757
43,45510,755
35,60082,710
38,57127,667
35,39621,763
38,47470,698
39,65656,705
18,55901,686
41,29046,664
26,59834,641
22,33731,725
34,71188,669
36,65361,822
29,54348,657
42,52358,650
23,46865,720
31,60178,761
30,44438,703
35,53534,723
38,63079,626
26,41573,673
42,40757,657
36,32085,624
18,34033,705
18,22574,610
35,60947,647
33,77134,679
34,71380,667
35,25609,716
37,60873,712
44,71332,736
25,43148,730
24,51522,746
25,19882,700
38,54001,712
46,34047,720
31,52995,706
18,26582,684
20,58143,687
28,65368,667
30,38252,717
31,32946,696
35,17660,673
32,46004,674
44,41276,652
29,26735,739
27,56795,703
39,43250,665
21,33864,732
39,41681,678
36,66070,644
34,59044,741
49,48050,679
29,59287,684
54,32586,702
33,50486,746
24,52210,701
36,42952,652
25,56532,722
28,38293,681
39,57647,776
40,58278,700
29,6243,611
44,67855,714
45,4286,778
48,40759,763
40,65380,773
47,45241,659
18,28007,736
32,33594,671
27,65404,709
36,21177,649
30,66935,674
34,49173,673
52,32114,736
33,41253,732
39,34742,711
33,62993,646
36,60986,688
35,24213,670
39,43946,735
45,37052,747
50,69403,742
38,29749,670
40,74063,590
25,49501,629
34,32571,757
43,39841,684
43,37976,670
37,30881,766
43,51422,751
39,31581,701
46,17295,688
38,44305,695
32,22957,709
38,38718,764
18,36363,717
38,36932,729
18,80014,747
19,50846,653
39,53681,730
39,23354,688
25,40191,599
29,53230,615
47,34632,659
31,63621,721
55,31960,705
35,45705,707
39,41209,778
50,52465,649
36,40393,699
26,45937,712
34,46458,671
35,38984,701
23,57276,636
33,53576,756
28,48671,673
43,43543,781
35,61948,699
32,46462,741
34,45400,698
37,51570,699
41,75449,677
26,29895,705
26,61548,713
45,21602,669
31,53259,695
22,73626,676
39,57330,792
39,52559,696
21,41593,762
37,50466,692
42,46219,710
38,38210,647
41,45652,682
22,52976,708
38,38492,763
32,37906,709
31,29596,755
43,55861,726
48,58180,765
51,53475,698
47,64478,796
34,51318,681
38,55880,669
42,54558,652
36,48627,793
36,42038,733
42,83212,687
