age,income,credit_score
45,20519,592
45,67182,705
40,45554,662
56,70229,729
40,44290,626
39,77333,577
55,68425,663
38,98808,736
44,68148,674
27,51090,654
52,62569,617
65,38427,762
52,76935,608
60,80977,625
35,122322,696
47,54320,563
34,62109,735
41,55333,699
52,72667,714
45,76397,696
28,66826,656
30,91899,607
29,54426,657
49,89696,611
67,79847,692
59,67735,709
23,61071,746
60,121387,685
54,50026,716
27,74555,649
41,51495,639
56,107284,691
50,87510,644
30,53076,680
51,79277,607
20,73669,617
42,56634,700
57,84680,714
44,76565,611
39,72745,702
54,67078,636
55,77483,666
58,73047,743
54,69300,709
56,53898,709
52,105263,770
47,44891,626
45,77408,611
41,60955,625
31,106710,651
33,48123,535
41,51824,654
47,46664,635
60,75116,708
44,37793,684
55,57472,632
56,20648,697
41,73289,705
51,56995,623
41,35263,638
59,91883,543
51,39231,605
31,85533,624
46,52577,669
62,103235,613
42,84490,637
49,45823,598
50,47824,674
33,81322,688
50,62228,687
29,64274,666
37,95989,580
56,51529,631
48,70008,643
41,89002,643
49,85801,669
43,64489,743
44,61644,710
51,29746,611
36,44763,702
44,75004,700
41,64967,621
27,69648,712
34,90864,656
61,41879,587
48,62804,690
29,72152,677
27,52508,652
43,99492,663
61,87989,625
42,74383,699
58,107473,663
48,35024,674
49,67830,685
29,76059,601
54,47880,616
40,74616,543
53,43655,696
35,83192,598
46,91272,672
48,73991,685
42,27238,698
48,46731,599
41,80424,661
37,68466,757
62,8732,759
56,95342,719
36,71006,684
50,49980,610
36,89889,705
31,53094,656
55,52854,696
25,75884,630
54,107183,655
41,103719,674
42,75914,679
49,78172,692
50,85413,633
35,40346,591
52,82171,754
45,51850,802
30,75007,690
42,62996,592
59,79027,622
62,70598,693
52,393,739
31,71936,598
49,82127,658
53,77810,676
52,65743,713
53,104128,646
48,74850,579
43,77629,699
37,90979,727
23,75977,660
48,48244,687
46,14357,639
50,57503,618
29,84741,721
51,60232,686
67,85626,692
45,71272,748
43,96337,607
47,61505,635
66,78288,674
33,79129,634
46,101035,708
35,30454,655
38,57915,610
43,86667,669
59,102010,674
64,73282,716
49,61561,687
40,84657,690
71,87111,683
39,60087,655
38,75267,626
24,93972,681
59,109590,647
55,84337,758
71,68971,739
29,66810,700
60,80263,686
45,65455,660
53,72172,596
26,44727,653
60,96535,671
53,42916,678
44,58494,691
51,70147,716
36,111802,627
38,58701,627
39,53348,745
24,55882,707
53,104496,644
57,6128,659
36,45940,659
48,128088,667
41,80999,691
48,43668,804
37,67078,675
34,69484,701
56,86615,572
43,108469,638
66,76548,733
45,56125,687
34,85316,424
57,52638,702
51,45267,770
52,29282,555
57,33567,749
37,48278,513
43,42089,717
42,74891,665
30,41613,536
41,0,690
59,45034,728
47,57619,685
29,54680,697
27,101430,642
62,54502,563
43,87380,703
37,67582,761
41,67069,727
28,49622,556
60,66707,582
40,51168,618
59,71741,577
45,62803,667
60,47218,687
47,89822,586
53,77390,708
52,58143,698
51,71201,635
48,66156,656
41,48913,558
65,69551,647
34,54338,665
44,47211,674
44,32299,686
48,60111,678
39,80473,650
47,52717,681
42,123456,720
27,87485,660
44,96695,682
32,85495,655
25,108763,629
46,50686,694
49,11664,634
50,58185,686
50,80281,667
23,71333,648
29,74060,647
66,97060,637
32,76405,574
51,85576,686
36,47330,678
45,43901,712
37,103511,636
50,70220,769
46,54289,644
39,54329,617
32,53719,610
47,52403,570
31,39771,749
49,34991,740
73,63710,698
59,54956,616
52,92358,765
43,74448,646
23,73837,650
29,51651,744
58,65337,701
35,75942,786
36,83756,679
42,65934,643
32,91741,631
31,68176,563
43,85443,650
34,57223,728
36,28123,698
35,73904,666
50,83957,610
41,80658,677
42,77288,721
51,60331,689
42,50252,674
41,80138,621
49,77382,713
51,55660,493
42,92407,686
45,48577,806
35,55162,582
35,104001,652
52,87109,665
49,60124,640
49,74322,722
47,71405,691
45,7596,673
52,48058,709
54,66881,666
54,60155,840
43,73436,673
59,92849,676
47,60926,571
51,44732,635
47,75147,728
47,60814,592
36,64567,546
52,61581,667
75,117320,740
40,18705,667
45,59457,647
39,67919,563
39,50815,690
61,87796,701
37,85892,567
39,66949,727
27,62045,707
36,65537,727
25,65695,697
51,66276,701
75,63864,694
40,73554,713
26,84571,565
54,40934,582
36,44885,625
58,29533,658
41,87061,686
37,73507,683
42,79116,726
52,36551,728
41,107269,617
39,54605,678
42,71701,618
30,86796,655
48,46286,683
24,55981,478
39,71942,798
52,130864,696
47,74625,632
50,103340,771
43,94525,646
57,76096,672
54,46238,638
49,91315,756
54,35042,659
52,103219,673
39,72400,731
29,9695,697
49,60509,662
50,82387,726
56,62785,805
34,83730,682
34,49299,671
49,39268,674
43,66428,737
23,68694,632
48,60336,650
24,95000,580
34,49295,600
59,74890,637
64,69495,662
31,33752,762
40,38981,694
44,68262,615
64,111586,625
39,80744,741
39,30036,727
61,0,667
40,84127,641
52,65883,727
28,93108,610
42,48624,687
26,75705,790
32,86616,676
53,58156,622
43,58626,688
40,68556,639
36,79939,588
42,67685,704
47,89428,726
55,57837,648
18,38775,644
35,111493,612
46,54698,657
43,55494,634
48,66552,609
47,69478,769
41,59493,691
38,67616,696
41,67125,714
57,71846,707
36,16135,642
43,109379,680
46,64760,650
61,80774,689
41,37682,684
55,57638,644
58,53209,592
43,100334,673
42,55112,654
40,84678,561
41,53691,693
53,58042,718
47,62598,804
47,96245,643
32,26423,635
33,39055,604
68,25159,676
42,44075,676
35,50145,620
60,32481,655
47,51849,556
50,23676,716
42,45604,623
40,94409,663
42,76879,587
29,72124,633
43,45939,650
47,34206,664
64,42939,691
45,67049,744
18,87100,705
43,87852,718
74,81873,745
54,51774,696
35,68540,663
51,60930,721
36,63574,724
29,112817,701
40,29236,585
45,62837,619
23,94658,650
31,35750,708
44,53838,664
40,56361,728
48,63088,737
31,32889,731
52,81096,731
31,82658,608
62,79184,692
25,48852,632
32,69903,574
49,48212,649
62,60683,738
47,115376,690
50,70105,776
44,41874,675
33,71967,800
39,38260,675
31,41622,666
30,45095,595
48,58225,726
32,88613,637
48,80725,629
30,79506,735
47,43824,729
39,56091,727
59,73984,645
48,54177,662
58,61876,662
36,77710,708
45,60327,750
33,72973,685
39,103040,774
41,64219,714
36,93945,652
31,80306,711
28,35721,759
18,43753,775
32,49661,730
51,49194,666
26,66014,653
29,81522,697
64,95613,757
37,74780,689
48,58195,690
51,22191,668
51,69553,647
27,68567,656
41,72024,672
26,114337,759
71,95293,652
26,85271,668
32,46834,617
33,56714,704
28,65913,740
59,50941,754
71,79010,676
39,75852,697
29,44057,657
19,94330,694
41,70251,682
41,29960,668
37,66870,673
46,74187,690
48,89401,649
48,60576,652
41,86215,759
32,72117,814
51,39069,599
44,36866,596
54,92696,612
53,94312,659
28,75104,714
28,100906,698
36,91245,674
32,83040,694
52,47951,627
48,106091,652
56,79799,664
48,59512,578
46,53298,601
57,73649,603
49,31237,707
45,83393,678
60,47021,699
45,76153,564
41,56524,583
35,62183,701
52,51348,512
58,64453,732
43,109566,565
58,98471,711
22,75799,616
43,67444,723
44,86572,841
36,92859,540
70,49744,703
43,66296,566
40,27917,688
44,92708,654
22,113431,672
36,69762,615
55,21250,708
37,81396,585
35,48110,733
58,53406,642
59,81785,588
50,73600,753
39,57262,661
41,53709,770
35,70768,732
33,58992,621
33,43597,660
37,60684,672
33,75471,749
27,64082,689
46,36903,675
47,89759,654
63,7746,662
37,58180,737
47,54356,665
47,71260,643
41,80357,634
52,92789,635
53,52327,588
48,80905,624
41,72308,747
40,30346,654
29,109812,704
35,36347,529
37,77229,696
32,76579,656
49,74064,639
57,57119,675
34,86200,638
47,33672,548
33,66552,716
41,55595,678
36,53099,648
51,77432,612
37,91705,584
55,60448,677
41,85175,754
37,69094,676
30,48360,589
